*SOIL INORGANIC N BALANCE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  MAY 26, 2025 18:07:50

*RUN   1        : farm_23                   MZCER048 UNLI2309    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2309 MZ PIO1366
 DATA PATH      :
 TREATMENT  1   : farm_23                   MZCER048
  
!               |------------------- STATE VARIABLES -------------------|---- ADDED ---|----------------------------- REMOVED TODAY --------------------------|    DAILY     CUMUL
@YEAR DOY  DAS     NO3     NH4   TUREA   TNGAS  FLOODN  ALGFIX  UNFERT   AFERT  AMINER  RIMMOB    RLCH    RLTD    RNUP    RNRO    RAML   N2OED    N2ED    NOED      DBAL      CBAL
 2020 212  103  18.538   1.564   0.000   0.087   0.000   0.000   0.000     0.0  0.4863  0.0000  0.0000  0.0000  0.5653  0.0000  0.0023  0.0001  0.0003  0.0003    0.0000    0.0001
 2020 213  104  18.530   1.627   0.000   0.087   0.000   0.000   0.000     0.0  0.4555  0.0000  0.0000  0.0000  0.3974  0.0000  0.0008  0.0002  0.0004  0.0004   -0.0000    0.0000
 2020 214  105  18.560   1.661   0.000   0.086   0.000   0.000   0.000     0.0  0.4665  0.0000  0.0000  0.0000  0.4006  0.0000  0.0008  0.0004  0.0008  0.0009   -0.0000    0.0000
 2020 215  106  18.570   1.679   0.000   0.085   0.000   0.000   0.000     0.0  0.4657  0.0000  0.0000  0.0000  0.4349  0.0000  0.0011  0.0005  0.0009  0.0011   -0.0000    0.0000
 2020 216  107  18.513   1.691   0.000   0.084   0.000   0.000   0.000     0.0  0.4365  0.0000  0.0000  0.0000  0.4789  0.0000  0.0008  0.0006  0.0010  0.0012   -0.0000    0.0000
 2020 217  108  18.452   1.691   0.000   0.083   0.000   0.000   0.000     0.0  0.4063  0.0000  0.0000  0.0000  0.4652  0.0000  0.0008  0.0006  0.0009  0.0012    0.0000    0.0000
 2020 218  109  18.409   1.686   0.000   0.082   0.000   0.000   0.000     0.0  0.4067  0.0000  0.0000  0.0000  0.4513  0.0000  0.0016  0.0006  0.0009  0.0011   -0.0000    0.0000
 2020 219  110  18.378   1.683   0.000   0.081   0.000   0.000   0.000     0.0  0.4190  0.0000  0.0000  0.0000  0.4501  0.0000  0.0023  0.0006  0.0009  0.0011    0.0000    0.0000
 2020 220  111  18.346   1.681   0.000   0.080   0.000   0.000   0.000     0.0  0.4258  0.0000  0.0000  0.0000  0.4552  0.0000  0.0023  0.0006  0.0008  0.0011   -0.0000    0.0000
 2020 221  112  18.374   1.674   0.000   0.079   0.000   0.000   0.000     0.0  0.4728  0.0000  0.0000  0.0000  0.4477  0.0000  0.0024  0.0005  0.0008  0.0011    0.0000    0.0000
 2020 222  113  18.397   1.663   0.000   0.079   0.000   0.000   0.000     0.0  0.5071  0.0000  0.0000  0.0000  0.4911  0.0000  0.0022  0.0005  0.0008  0.0011    0.0000    0.0001
 2020 223  114  18.421   1.650   0.000   0.079   0.000   0.000   0.000     0.0  0.5344  0.0000  0.0000  0.0000  0.5207  0.0000  0.0008  0.0005  0.0007  0.0011    0.0000    0.0001
 2020 224  115  18.416   1.642   0.000   0.078   0.000   0.000   0.000     0.0  0.5361  0.0000  0.0000  0.0000  0.5466  0.0000  0.0011  0.0005  0.0007  0.0011    0.0000    0.0001
 2020 225  116  18.413   1.635   0.000   0.078   0.000   0.000   0.000     0.0  0.5387  0.0000  0.0000  0.0000  0.5439  0.0000  0.0021  0.0005  0.0007  0.0011   -0.0000    0.0001
